Let Philshine usher in a fantastic new year as he brings you all the best music of the 70s, 80s, 90s and today- only on South Devon Sound!#Sat, 01 Jan 2011 07:00:00 GMT#0001
Get ready now for some fun, laughter, and the best songs that children's entertainment has to offer in KidsZone- on the air now until 10am!#Sat, 01 Jan 2011 09:00:00 GMT#0002
South Devon Saturday on the air until 1pm with the soundtrack to your weekend- why not check out the games on our website while you listen?#Sat, 01 Jan 2011 10:00:00 GMT#0003
Tune in now to Everything Eighties and reminisce on years gone by with some classic tunes of the era here on South Devon Sound!#Sat, 01 Jan 2011 13:00:00 GMT#0004
Dust off that air guitar and rock out to your first weekend of the year with the Saturday Afternoon Radio Show- on the air now until 5pm!#Sat, 01 Jan 2011 15:00:00 GMT#0005
Celebrate the new year by travelling to the birthplace of man with Africa Calling on South Devon Sound- you'll be back at home by 7pm! ;-)#Sat, 01 Jan 2011 17:00:00 GMT#0006
South Devon Saturday back with you now until 11pm- Why not drop us a comment to let us know how 2011 has been treating you so far?#Sat, 01 Jan 2011 19:00:00 GMT#0007
Drift off now to the calming sounds of South Devon by Night here on South Devon Sound and dream of all that awaits you in the year ahead!#Sat, 01 Jan 2011 23:00:00 GMT#0008
Have you voted for your favourite South Devon Sound morning and afternoon shows yet? If not, visit the website and take part now!#Sun, 02 Jan 2011 00:00:00 GMT#000X
Philshine is back again for another edition of his weekend breakfast show- bringing you some of the best music around in his unique style.#Sun, 02 Jan 2011 07:00:00 GMT#0009
South Devon Sunday on the air now until 1pm with the soundtrack to your South Devon weekend- only here on South Devon Sound!#Sun, 02 Jan 2011 09:00:00 GMT#0010
The old songs get an outing as we put some remakes through their paces in Classic Remakes until 3pm. Up next: The Sunday 70s Show!#Sun, 02 Jan 2011 13:00:00 GMT#0011
Join us now for the first Sunday 70s Show of the year as we take you back in time to the flamboyant and lively music of the 70s.#Sun, 02 Jan 2011 15:00:00 GMT#0012
Country music at it's finest here on South Devon Sound now as Gone Country takes over for the next 2 hours- Stetsons and boots are optional...#Sun, 02 Jan 2011 17:00:00 GMT#0013
All the best songs of stage and screen now on the air as we take our seats for another Musical Memories here on South Devon Sound.#Sun, 02 Jan 2011 19:00:00 GMT#0014
Celebrate the end of your romantic New Year weekend by joining us in The Love Zone for the best and most powerful love songs ever!#Sun, 02 Jan 2011 21:00:00 GMT#0015
South Devon by Night here now to ease you into a blissful sleep in preparation for the week ahead; we'll be back from 6am tomorrow.#Sun, 02 Jan 2011 23:00:00 GMT#0016
Start your week the Devon way with Dave on Good Morning South Devon until 9am as he brings you the best music from yesterday and today!#Mon, 03 Jan 2011 06:00:00 GMT#0017
Tune in now to South Devon at Work and Play- the soundtrack to your life in the South West- here with you until 11pm tonight!#Mon, 03 Jan 2011 09:00:00 GMT#0018
Drift away with South Devon Sound now as South Devon by Night eases the stresses and strains of a long and tiring Monday.#Mon, 03 Jan 2011 23:00:00 GMT#0019
Join Dave again for another Good Morning South Devon until 9am as he brings you the best music from the 70s, 80s, 90s and today!#Tue, 04 Jan 2011 06:00:00 GMT#0020
South Devon at Work and Play with you now for the rest of your working day- playing some of the best music around.#Tue, 04 Jan 2011 09:00:00 GMT#0021
Chill out now to the smooth grooves and calming sounds of South Devon by Night- here with you until 6am tomorrow.#Tue, 04 Jan 2011 23:00:00 GMT#0022
Dave is back again with another edition of South Devon Sound- on the air now until 9am. Tune in and get started on the week ahead!#Wed, 05 Jan 2011 06:00:00 GMT#0023
Join us now for South Devon at Work and Play- the sound track to your South Devon working day; only here on South Devon Sound!#Wed, 05 Jan 2011 09:00:00 GMT#0024
South Devon by Night on the air now with a selection of easy listening classics, Jazz, and mellow tunes to help you drift off to sleep.#Wed, 05 Jan 2011 23:00:00 GMT#0025
